city,number_of_bedrooms,number_of_bathrooms,furnished,power_supply_hours,security_level,estate_type,proximity_to_road,parking_space,monthly_rent
Benin,3,2,No,12,Medium,Non-Estate,Near,No,290000
Port Harcourt,1,1,No,8,High,Non-Estate,Near,No,275000
Benin,3,2,No,16,Medium,Non-Estate,Near,Yes,320000
Lagos,2,2,Yes,12,Medium,Non-Estate,Near,No,660000
Lagos,2,1,No,16,Low,Non-Estate,Near,No,430000
Lagos,1,1,Yes,12,Medium,Non-Estate,Far,Yes,390000
Abuja,2,2,No,24,High,Estate,Near,No,975000
Abuja,2,2,Yes,16,Medium,Non-Estate,Near,Yes,775000
Lagos,4,3,No,24,Medium,Non-Estate,Far,Yes,915000
Ibadan,1,1,Yes,12,Medium,Estate,Near,Yes,235000
Abuja,2,2,Yes,12,Low,Estate,Far,Yes,840000
Lagos,2,1,Yes,16,Medium,Non-Estate,Far,No,675000
Abuja,3,3,No,20,Medium,Non-Estate,Near,Yes,890000
Lagos,3,2,No,24,Medium,Non-Estate,Near,Yes,815000
Ibadan,3,2,No,8,High,Estate,Far,Yes,400000
Lagos,3,2,No,16,High,Estate,Far,No,980000
Ilorin,4,2,No,8,High,Non-Estate,Near,No,260000
Ibadan,2,1,No,12,High,Estate,Near,Yes,370000
Lagos,3,2,No,4,High,Estate,Near,No,680000
Lagos,4,3,Yes,8,Medium,Estate,Near,No,1230000
Ibadan,5,3,No,20,Low,Estate,Near,Yes,620000
Ibadan,4,3,No,4,Medium,Estate,Far,No,420000
Ibadan,2,1,No,12,High,Estate,Far,Yes,305000
Ibadan,2,1,No,12,Low,Estate,Near,Yes,315000
Lagos,2,1,No,4,Low,Non-Estate,Far,Yes,345000
Abuja,3,2,Yes,8,Low,Estate,Near,Yes,960000
Lagos,2,2,No,12,Medium,Non-Estate,Near,No,555000
Benin,2,1,No,4,Medium,Non-Estate,Near,Yes,180000
Port Harcourt,4,3,No,16,Medium,Non-Estate,Near,No,765000
Abuja,2,1,No,24,Low,Estate,Near,Yes,785000
Lagos,4,3,No,8,Medium,Non-Estate,Far,No,760000
Abuja,2,1,No,4,Medium,Estate,Near,Yes,590000
Abuja,2,1,Yes,12,Medium,Estate,Far,No,610000
Ibadan,2,1,Yes,16,Medium,Non-Estate,Near,Yes,360000
Port Harcourt,3,3,No,8,Medium,Non-Estate,Near,No,550000
Benin,1,1,No,0,Medium,Non-Estate,Near,No,110000
Abuja,2,1,Yes,12,Medium,Non-Estate,Far,No,680000
Lagos,5,3,No,24,Medium,Non-Estate,Near,Yes,1505000
Ibadan,2,2,No,8,High,Estate,Far,Yes,320000
Ibadan,3,3,No,12,Low,Estate,Far,No,385000
Port Harcourt,3,2,Yes,24,Low,Non-Estate,Far,Yes,885000
Ibadan,2,1,No,16,High,Non-Estate,Near,Yes,355000
Abuja,3,2,No,16,Medium,Estate,Far,Yes,990000
Abuja,2,2,No,12,Low,Non-Estate,Near,Yes,505000
Abuja,3,2,No,24,Low,Estate,Far,Yes,940000
Lagos,2,1,Yes,16,High,Non-Estate,Near,No,755000
Lagos,3,3,No,20,High,Non-Estate,Near,Yes,1055000
Lagos,1,1,Yes,16,Medium,Non-Estate,Near,Yes,465000
Port Harcourt,3,2,Yes,16,Medium,Estate,Near,Yes,750000
Abuja,2,2,No,8,Low,Non-Estate,Near,Yes,490000
Abuja,2,1,No,8,Medium,Non-Estate,Far,No,485000
Benin,2,1,No,16,Low,Estate,Far,Yes,265000
Lagos,2,1,Yes,8,Medium,Estate,Near,No,685000
Abuja,4,2,No,12,Low,Non-Estate,Near,Yes,860000
Ibadan,2,1,No,8,Medium,Non-Estate,Near,Yes,220000
Lagos,4,4,No,16,Medium,Estate,Near,Yes,1150000
Lagos,5,3,No,4,Medium,Non-Estate,Far,Yes,735000
Lagos,3,3,No,16,Low,Non-Estate,Far,No,700000
Lagos,1,1,No,12,Medium,Estate,Near,Yes,395000
Benin,2,1,Yes,4,High,Non-Estate,Near,No,200000
Ibadan,3,2,Yes,12,Medium,Estate,Far,No,435000
Port Harcourt,2,1,No,8,Medium,Estate,Far,No,330000
Benin,1,1,No,8,Medium,Estate,Near,Yes,135000
Ibadan,3,3,No,8,Medium,Non-Estate,Near,Yes,330000
Lagos,4,2,No,4,Medium,Non-Estate,Near,No,570000
Benin,3,3,Yes,24,High,Estate,Near,No,620000
Abuja,2,1,Yes,0,Low,Non-Estate,Near,No,420000
Ibadan,3,3,No,16,Low,Non-Estate,Near,Yes,400000
Benin,2,1,Yes,8,Medium,Estate,Far,No,280000
Abuja,2,1,No,12,High,Non-Estate,Near,No,625000
Lagos,4,4,No,8,High,Non-Estate,Far,Yes,930000
Lagos,2,1,No,16,Medium,Non-Estate,Near,No,585000
Abuja,2,1,No,16,Medium,Non-Estate,Near,Yes,600000
Ibadan,1,1,No,16,Medium,Estate,Near,Yes,210000
Benin,4,2,No,4,Medium,Non-Estate,Near,No,250000
Lagos,3,2,Yes,16,Medium,Estate,Far,Yes,960000
Abuja,3,3,No,8,High,Non-Estate,Near,Yes,885000
Abuja,3,2,No,0,Medium,Non-Estate,Near,Yes,460000
Lagos,2,1,No,12,Medium,Estate,Far,Yes,585000
Lagos,2,1,Yes,12,Medium,Non-Estate,Near,Yes,540000
Abuja,2,1,No,12,Medium,Non-Estate,Near,No,605000
Benin,1,1,No,16,Medium,Non-Estate,Near,Yes,195000
Abuja,2,2,No,8,Medium,Estate,Near,Yes,720000
Abuja,4,4,No,8,Low,Non-Estate,Near,No,955000
Ibadan,1,1,No,4,Low,Non-Estate,Near,Yes,125000
Abuja,2,1,No,16,Medium,Estate,Far,Yes,705000
Ilorin,2,1,Yes,12,High,Estate,Far,Yes,235000
Ilorin,2,2,No,8,Medium,Non-Estate,Near,Yes,185000
Lagos,4,2,No,16,Medium,Estate,Near,Yes,980000
Abuja,2,2,No,12,Medium,Estate,Near,Yes,665000
Abuja,2,1,No,12,Low,Non-Estate,Near,Yes,605000
Lagos,3,3,Yes,12,High,Non-Estate,Near,No,840000
Lagos,2,2,Yes,12,High,Non-Estate,Far,Yes,640000
Port Harcourt,2,2,No,16,Low,Estate,Far,No,440000
Abuja,2,1,No,8,Medium,Non-Estate,Near,No,515000
Lagos,3,2,No,4,Medium,Non-Estate,Far,Yes,525000
Lagos,5,4,No,4,High,Estate,Near,No,1160000
Benin,3,3,No,12,Medium,Non-Estate,Near,Yes,345000
Lagos,2,1,No,20,Low,Non-Estate,Near,Yes,500000
Lagos,4,4,No,12,Medium,Non-Estate,Near,Yes,940000
Abuja,2,2,No,4,High,Non-Estate,Far,No,525000
Ilorin,1,1,No,16,Low,Estate,Near,Yes,155000
Lagos,2,2,No,16,Medium,Non-Estate,Near,Yes,575000
Port Harcourt,2,1,No,20,Low,Non-Estate,Far,Yes,360000
Ibadan,3,2,No,12,High,Non-Estate,Near,No,330000
Lagos,3,2,No,20,Low,Non-Estate,Near,Yes,685000
Ibadan,4,3,No,0,High,Estate,Near,Yes,395000
Abuja,3,3,No,4,Medium,Estate,Near,Yes,675000
Port Harcourt,3,2,Yes,4,Medium,Estate,Far,No,535000
Port Harcourt,1,1,No,16,High,Non-Estate,Near,Yes,325000
Abuja,1,1,No,4,High,Estate,Far,Yes,435000
Lagos,3,3,No,12,Medium,Non-Estate,Near,No,765000
Ibadan,2,1,Yes,12,Low,Estate,Near,Yes,335000
Abuja,4,4,Yes,8,Medium,Non-Estate,Near,No,1150000
Lagos,2,1,Yes,20,Medium,Estate,Far,No,855000
Lagos,1,1,No,4,Medium,Non-Estate,Near,No,275000
Port Harcourt,2,1,Yes,8,Medium,Non-Estate,Far,Yes,475000
Port Harcourt,2,1,No,16,Low,Non-Estate,Near,Yes,370000
Lagos,1,1,Yes,0,Medium,Non-Estate,Near,Yes,350000
Abuja,3,2,Yes,16,Medium,Estate,Near,No,1165000
Lagos,1,1,Yes,16,Low,Estate,Far,No,410000
Port Harcourt,3,2,Yes,20,Medium,Non-Estate,Near,Yes,925000
Lagos,2,1,No,20,Medium,Non-Estate,Near,No,645000
Port Harcourt,2,2,No,8,Medium,Estate,Near,No,405000
Abuja,2,2,No,12,Low,Non-Estate,Far,Yes,610000
Benin,4,2,Yes,4,Medium,Non-Estate,Far,Yes,290000
Lagos,2,1,Yes,8,Medium,Estate,Far,Yes,625000
Abuja,3,2,No,4,Medium,Estate,Near,Yes,645000
Lagos,1,1,No,8,High,Non-Estate,Far,No,300000
Benin,3,3,Yes,20,Medium,Estate,Far,No,510000
Benin,2,2,No,8,Low,Estate,Near,Yes,215000
Lagos,3,2,No,12,Medium,Estate,Near,Yes,665000
Port Harcourt,3,3,Yes,12,High,Estate,Near,Yes,925000
Ibadan,4,3,No,12,Low,Non-Estate,Near,No,375000
Port Harcourt,2,1,Yes,24,High,Estate,Far,No,785000
Abuja,1,1,No,8,Medium,Estate,Far,Yes,360000
Lagos,1,1,Yes,12,High,Non-Estate,Far,No,500000
Lagos,4,3,No,12,Medium,Estate,Near,Yes,940000
Benin,3,2,Yes,4,Medium,Estate,Near,Yes,325000
Benin,3,2,No,12,High,Non-Estate,Near,No,295000
Port Harcourt,2,1,Yes,16,Medium,Non-Estate,Near,Yes,570000
Abuja,2,2,No,4,Low,Non-Estate,Far,Yes,375000
Abuja,1,1,No,4,Medium,Estate,Near,Yes,375000
Ibadan,5,3,No,4,Low,Non-Estate,Far,Yes,355000
Benin,3,3,No,16,High,Non-Estate,Far,No,385000
Benin,4,4,No,16,Medium,Non-Estate,Far,No,340000
Ibadan,2,2,No,12,High,Estate,Near,No,375000
Port Harcourt,3,2,Yes,12,High,Estate,Far,Yes,740000
Lagos,3,2,No,20,Low,Non-Estate,Far,Yes,630000
Lagos,2,1,Yes,16,Medium,Non-Estate,Far,Yes,575000
Benin,4,2,No,16,High,Non-Estate,Far,No,345000
Port Harcourt,4,4,Yes,16,Medium,Estate,Far,Yes,1100000
Lagos,4,2,No,12,High,Estate,Near,No,1180000
Lagos,3,2,No,12,Medium,Non-Estate,Far,Yes,540000
Port Harcourt,2,1,No,20,Low,Non-Estate,Far,Yes,415000
Lagos,2,1,No,20,High,Estate,Far,Yes,700000
Lagos,5,4,Yes,0,Low,Estate,Far,No,885000
Abuja,1,1,No,4,Low,Non-Estate,Near,Yes,300000
Port Harcourt,3,2,Yes,24,Medium,Non-Estate,Near,Yes,985000
Port Harcourt,3,2,No,8,High,Non-Estate,Near,Yes,475000
Lagos,3,2,No,20,Medium,Non-Estate,Near,Yes,880000
Ibadan,5,3,No,8,Medium,Non-Estate,Near,Yes,445000
Lagos,2,1,Yes,4,Medium,Estate,Near,Yes,550000
Abuja,2,1,Yes,4,Medium,Non-Estate,Near,Yes,550000
Ibadan,1,1,Yes,4,Medium,Non-Estate,Far,Yes,160000
Port Harcourt,2,2,Yes,8,Low,Non-Estate,Near,Yes,400000
Ibadan,2,2,Yes,12,Medium,Non-Estate,Near,Yes,300000
Port Harcourt,2,2,No,16,High,Estate,Near,No,550000
Port Harcourt,4,2,Yes,24,Medium,Non-Estate,Near,Yes,1170000
Lagos,4,2,No,12,Low,Non-Estate,Near,Yes,695000
Abuja,2,1,No,12,High,Non-Estate,Near,Yes,695000
Lagos,2,2,No,12,Medium,Estate,Far,Yes,530000
Lagos,4,4,No,12,High,Non-Estate,Near,No,1135000
Ilorin,1,1,No,12,Low,Non-Estate,Far,No,100000
Abuja,1,1,No,0,Low,Estate,Far,No,250000
Benin,2,2,Yes,0,Medium,Estate,Far,Yes,245000
Port Harcourt,3,2,No,4,Medium,Non-Estate,Near,Yes,390000
Ibadan,2,1,No,4,Medium,Non-Estate,Near,Yes,210000
Abuja,5,3,No,16,Medium,Estate,Near,Yes,1525000
Port Harcourt,2,1,No,8,Low,Non-Estate,Near,Yes,325000
Abuja,3,2,No,20,Medium,Non-Estate,Near,Yes,1055000
Lagos,2,1,No,20,Medium,Non-Estate,Far,No,580000
Ibadan,2,1,Yes,24,Medium,Estate,Near,Yes,525000
Lagos,3,3,No,20,Medium,Non-Estate,Near,No,945000
Lagos,3,3,No,8,Medium,Estate,Near,Yes,740000
Port Harcourt,3,3,Yes,12,Medium,Estate,Far,No,645000
Lagos,3,2,Yes,4,Medium,Estate,Far,Yes,780000
Benin,4,4,Yes,16,Medium,Non-Estate,Near,No,505000
Ilorin,4,4,No,20,Low,Estate,Near,Yes,380000
Benin,3,2,Yes,20,Medium,Estate,Near,Yes,500000
Abuja,1,1,No,12,High,Estate,Far,Yes,565000
Lagos,1,1,No,16,Medium,Non-Estate,Far,No,315000
Benin,2,1,No,4,Low,Non-Estate,Far,No,155000
Abuja,3,3,No,0,High,Non-Estate,Near,Yes,645000
Ilorin,2,2,No,16,Medium,Estate,Far,No,180000
Ilorin,2,1,No,12,Low,Estate,Far,Yes,190000
Benin,4,4,Yes,24,Medium,Estate,Far,Yes,790000
Lagos,4,4,No,4,Medium,Non-Estate,Near,Yes,700000
Abuja,4,4,No,20,Medium,Estate,Near,No,1320000
Benin,2,1,No,12,Medium,Estate,Near,Yes,235000
Abuja,3,3,No,16,Medium,Non-Estate,Near,Yes,995000
Lagos,2,1,Yes,16,Low,Estate,Far,Yes,590000
Port Harcourt,2,1,No,20,Medium,Estate,Far,Yes,465000
Benin,2,1,Yes,8,Medium,Estate,Near,Yes,290000
Port Harcourt,2,1,No,20,Medium,Estate,Near,Yes,530000
Port Harcourt,2,2,Yes,4,Low,Non-Estate,Near,Yes,385000
Lagos,4,3,No,4,Low,Non-Estate,Far,Yes,690000
Port Harcourt,1,1,Yes,12,Medium,Estate,Near,Yes,465000
Ilorin,3,2,No,16,High,Estate,Near,Yes,380000
Lagos,3,3,No,12,Medium,Non-Estate,Near,No,640000
Abuja,2,1,Yes,16,Medium,Non-Estate,Near,Yes,875000
Benin,2,2,No,16,Low,Estate,Far,No,260000
Ibadan,2,1,No,8,Medium,Non-Estate,Far,Yes,190000
Port Harcourt,3,2,No,20,Low,Estate,Near,Yes,735000
Ibadan,2,1,No,4,High,Non-Estate,Far,Yes,185000
Abuja,2,1,No,20,Medium,Non-Estate,Near,No,685000
Lagos,1,1,No,8,High,Non-Estate,Far,No,350000
Ibadan,3,2,No,12,Medium,Non-Estate,Near,Yes,380000
Ibadan,4,4,No,12,High,Estate,Near,Yes,570000
Benin,2,1,No,4,Medium,Non-Estate,Near,No,170000
Benin,3,2,Yes,8,Low,Non-Estate,Near,Yes,280000
Abuja,3,2,Yes,4,High,Non-Estate,Near,No,955000
Abuja,4,4,Yes,8,Medium,Estate,Far,Yes,1350000
Ibadan,4,3,Yes,4,High,Non-Estate,Far,No,400000
Port Harcourt,3,2,No,12,Low,Non-Estate,Near,Yes,465000
Ibadan,3,3,No,16,Medium,Estate,Far,Yes,455000
Ibadan,4,3,Yes,12,Medium,Estate,Near,No,615000
Benin,2,1,No,20,Low,Estate,Far,Yes,275000
Abuja,2,1,No,12,Medium,Non-Estate,Near,Yes,530000
Abuja,1,1,No,16,Medium,Non-Estate,Far,Yes,440000
Lagos,4,3,No,16,Low,Non-Estate,Near,Yes,830000
Port Harcourt,4,2,No,12,Low,Estate,Near,Yes,730000
Lagos,1,1,Yes,16,Medium,Non-Estate,Near,No,535000
Abuja,3,2,Yes,4,Low,Non-Estate,Near,No,730000
Abuja,2,1,Yes,20,Medium,Estate,Far,Yes,780000
Lagos,1,1,No,16,Low,Estate,Near,No,475000
Port Harcourt,5,4,Yes,8,Medium,Estate,Near,Yes,1020000
Lagos,2,2,No,16,High,Non-Estate,Near,No,680000
Lagos,1,1,Yes,0,Medium,Estate,Near,Yes,365000
Ibadan,3,2,No,8,Medium,Estate,Far,No,300000
Abuja,3,2,Yes,4,Medium,Estate,Near,No,765000
Lagos,1,1,Yes,16,High,Non-Estate,Far,No,450000
Abuja,3,3,Yes,16,Low,Estate,Near,Yes,1380000
Ibadan,3,2,No,16,Medium,Estate,Far,Yes,455000
Lagos,1,1,Yes,0,Medium,Non-Estate,Far,Yes,290000
Port Harcourt,2,1,No,12,Medium,Non-Estate,Far,Yes,325000
Lagos,3,3,Yes,16,High,Non-Estate,Far,Yes,1175000
Lagos,2,1,No,4,High,Non-Estate,Near,No,430000
Abuja,4,3,No,12,High,Non-Estate,Far,No,995000
Abuja,4,2,Yes,4,Medium,Non-Estate,Far,Yes,845000
Port Harcourt,5,4,No,4,Low,Non-Estate,Far,Yes,595000
Ibadan,2,1,No,12,High,Estate,Far,No,295000
Ilorin,5,4,Yes,16,Medium,Non-Estate,Far,No,470000
Abuja,2,2,Yes,4,Low,Estate,Near,Yes,660000
Abuja,2,1,No,4,Medium,Estate,Near,Yes,580000
Ibadan,1,1,No,8,Medium,Non-Estate,Near,No,150000
Lagos,1,1,No,8,Medium,Non-Estate,Far,No,290000
Abuja,3,3,No,8,High,Non-Estate,Near,Yes,800000
Lagos,2,1,No,8,Low,Non-Estate,Near,No,435000
Lagos,2,1,Yes,16,Low,Non-Estate,Near,No,545000
Ilorin,3,2,No,12,Medium,Non-Estate,Near,Yes,210000
Ibadan,2,1,No,16,Medium,Non-Estate,Far,No,270000
Port Harcourt,3,3,No,16,Low,Non-Estate,Far,Yes,510000
Abuja,2,1,No,4,Medium,Estate,Near,No,515000
Lagos,4,3,No,0,Medium,Estate,Near,Yes,805000
Lagos,4,3,Yes,20,High,Non-Estate,Near,Yes,1515000
Lagos,2,2,No,4,Low,Estate,Near,No,400000
Abuja,2,1,No,4,High,Estate,Near,No,535000
Ibadan,2,1,Yes,0,Low,Estate,Near,No,255000
Port Harcourt,4,3,No,12,Medium,Estate,Near,Yes,770000
Lagos,2,2,Yes,12,Medium,Non-Estate,Near,Yes,710000
Ilorin,2,1,No,24,Low,Non-Estate,Far,No,200000
Ibadan,1,1,No,20,Medium,Non-Estate,Near,No,210000
Port Harcourt,2,1,Yes,12,Low,Non-Estate,Near,No,485000
Port Harcourt,2,2,No,8,Low,Non-Estate,Near,Yes,345000
Abuja,4,2,No,8,Medium,Non-Estate,Far,Yes,785000
Lagos,2,1,No,4,Medium,Non-Estate,Near,Yes,420000
Abuja,2,1,Yes,4,Low,Non-Estate,Near,No,460000
Ibadan,4,4,Yes,4,Low,Estate,Near,No,470000
Lagos,4,4,No,4,Low,Estate,Far,Yes,795000
Lagos,2,1,Yes,8,Medium,Non-Estate,Far,Yes,540000
Lagos,2,1,No,8,Medium,Non-Estate,Far,Yes,410000
Lagos,2,1,No,24,Low,Non-Estate,Near,No,635000
Benin,4,2,No,12,Low,Non-Estate,Far,Yes,310000
Ibadan,1,1,No,24,Medium,Estate,Far,No,270000
Abuja,4,3,No,8,High,Estate,Near,Yes,1270000
Lagos,3,2,No,12,Medium,Non-Estate,Far,Yes,590000
Abuja,3,3,No,8,High,Estate,Near,Yes,945000
Abuja,1,1,No,4,Low,Non-Estate,Near,No,315000
Lagos,2,1,No,4,High,Non-Estate,Far,Yes,470000
Abuja,2,1,Yes,20,Medium,Non-Estate,Far,No,675000
Abuja,2,1,Yes,24,High,Estate,Near,No,1155000
Port Harcourt,3,2,No,0,Medium,Non-Estate,Near,Yes,335000
Port Harcourt,5,3,No,4,Medium,Non-Estate,Far,Yes,570000
Lagos,3,2,No,12,Medium,Non-Estate,Near,No,680000
Abuja,3,3,No,4,Medium,Non-Estate,Near,Yes,580000
Port Harcourt,1,1,Yes,8,High,Non-Estate,Near,Yes,390000
Abuja,2,1,No,4,Medium,Estate,Far,No,515000
Benin,1,1,No,12,High,Non-Estate,Far,No,175000
Port Harcourt,3,2,No,8,Medium,Non-Estate,Near,Yes,445000
Lagos,4,3,No,8,Medium,Estate,Near,Yes,975000
Lagos,3,2,Yes,4,Low,Estate,Near,No,795000
Port Harcourt,1,1,No,12,High,Estate,Near,Yes,330000
Lagos,2,2,No,24,Medium,Non-Estate,Far,Yes,625000
Port Harcourt,3,3,Yes,8,Medium,Non-Estate,Near,Yes,735000
Benin,2,1,No,20,Medium,Estate,Near,Yes,265000
Port Harcourt,4,4,No,16,Medium,Non-Estate,Far,No,820000
Abuja,4,3,No,24,High,Non-Estate,Near,No,1430000
Port Harcourt,3,2,Yes,16,Low,Estate,Near,No,685000
Abuja,2,1,Yes,16,Medium,Estate,Near,No,840000
Abuja,2,2,No,20,Low,Estate,Far,Yes,700000
Benin,1,1,Yes,4,High,Non-Estate,Near,Yes,165000
Abuja,2,1,No,12,Low,Estate,Near,No,600000
Ilorin,2,1,Yes,24,Low,Non-Estate,Near,Yes,260000
Benin,3,2,No,16,Medium,Non-Estate,Far,Yes,295000
Lagos,3,2,No,24,Medium,Non-Estate,Near,Yes,770000
Lagos,1,1,No,16,Medium,Estate,Far,Yes,460000
Lagos,2,1,Yes,20,Low,Non-Estate,Far,Yes,650000
Lagos,2,1,No,16,High,Non-Estate,Far,Yes,630000
Lagos,2,1,No,16,High,Estate,Near,Yes,785000
Port Harcourt,4,3,Yes,12,Medium,Estate,Near,Yes,955000
Lagos,1,1,No,20,Medium,Non-Estate,Near,Yes,370000
Abuja,2,1,Yes,16,Medium,Non-Estate,Near,Yes,875000
Ibadan,2,1,No,16,Low,Estate,Far,No,290000
Lagos,4,3,No,16,Medium,Non-Estate,Near,No,810000
Ibadan,3,2,Yes,8,Medium,Non-Estate,Near,No,395000
Lagos,2,1,No,0,Medium,Non-Estate,Near,No,285000
Lagos,3,2,No,20,Medium,Estate,Far,No,705000
Port Harcourt,3,2,Yes,12,High,Non-Estate,Near,Yes,780000
Port Harcourt,5,4,No,8,Medium,Estate,Near,Yes,800000
Benin,2,1,No,4,Medium,Non-Estate,Near,No,185000
Ibadan,4,3,No,16,Low,Non-Estate,Far,No,465000
Ibadan,4,3,No,16,Medium,Estate,Near,Yes,595000
Lagos,4,2,Yes,16,Medium,Non-Estate,Near,No,935000
Lagos,3,3,Yes,12,Medium,Estate,Near,Yes,985000
Ibadan,3,2,No,8,High,Non-Estate,Far,Yes,320000
Ibadan,2,1,Yes,8,High,Estate,Near,Yes,375000
Ilorin,3,3,No,0,Medium,Non-Estate,Far,Yes,145000
Abuja,3,2,Yes,16,Medium,Estate,Far,Yes,1160000
Abuja,3,3,No,4,High,Non-Estate,Near,No,705000
Ibadan,2,1,No,12,Medium,Non-Estate,Near,Yes,290000
Abuja,3,2,No,12,Low,Non-Estate,Near,Yes,835000
Benin,4,2,Yes,12,Medium,Estate,Near,Yes,515000
Benin,1,1,Yes,20,Low,Non-Estate,Near,No,220000
Abuja,4,4,Yes,0,High,Estate,Near,No,1045000
Ibadan,3,3,Yes,16,Medium,Non-Estate,Near,Yes,470000
Ibadan,4,2,Yes,4,Medium,Non-Estate,Near,Yes,475000
Lagos,2,1,No,0,Low,Non-Estate,Far,Yes,325000
Benin,2,1,No,12,Medium,Non-Estate,Far,No,170000
Abuja,4,3,No,4,High,Estate,Near,Yes,1080000
Ibadan,2,1,No,16,Low,Non-Estate,Near,Yes,300000
Abuja,4,3,No,12,Medium,Estate,Far,Yes,1020000
Benin,2,1,No,0,High,Non-Estate,Far,Yes,140000
Abuja,3,3,No,0,Medium,Non-Estate,Far,No,580000
Lagos,2,2,No,12,Medium,Non-Estate,Near,Yes,525000
Benin,3,2,No,16,Medium,Non-Estate,Near,Yes,310000
Lagos,2,1,Yes,12,Medium,Estate,Near,No,630000
Abuja,1,1,Yes,12,Low,Non-Estate,Far,No,485000
Ilorin,2,1,No,16,Low,Estate,Near,Yes,225000
Ilorin,1,1,Yes,12,Medium,Non-Estate,Near,No,145000
Port Harcourt,5,4,No,8,High,Non-Estate,Near,No,740000
Port Harcourt,5,3,No,12,Low,Estate,Far,Yes,825000
Abuja,2,1,Yes,12,Low,Estate,Near,Yes,700000
Lagos,3,2,Yes,16,Medium,Estate,Far,Yes,885000
Abuja,2,1,No,12,High,Non-Estate,Far,Yes,580000
Port Harcourt,3,2,No,24,Medium,Estate,Far,Yes,660000
Ibadan,4,3,Yes,4,High,Non-Estate,Near,No,560000
Ibadan,4,2,No,24,Low,Non-Estate,Far,No,400000
Ibadan,2,1,No,12,High,Estate,Near,Yes,325000
Lagos,3,2,Yes,16,Medium,Non-Estate,Near,Yes,835000
Abuja,2,1,Yes,4,Medium,Non-Estate,Far,Yes,555000
Lagos,5,3,No,8,Medium,Estate,Near,No,890000
Abuja,1,1,Yes,16,High,Non-Estate,Near,No,625000
